ID Moeda,Nome,Símbolo,Preço (U$),Capitalização (U$),Volume 24h (U$),Variação 1h (%),Variação 24h (%),Variação 7d (%),Última Atualização
bitcoin,Bitcoin,btc,"U$ 109,545.00","U$ 2,183,161,932,477.00","U$ 75,916,040,132.00",0.29%,-3.20%,-6.73%,2025-09-25 22:07:48
ethereum,Ethereum,eth,"U$ 3,935.30","U$ 474,673,779,536.00","U$ 65,336,867,822.00",1.01%,-4.67%,-14.64%,2025-09-25 22:07:48
tether,Tether,usdt,U$ 1.00,"U$ 173,522,261,560.00","U$ 165,623,918,616.00",-0.00%,0.02%,0.02%,2025-09-25 22:07:48
ripple,XRP,xrp,U$ 2.77,"U$ 165,410,350,978.00","U$ 8,829,039,881.00",0.55%,-4.98%,-9.99%,2025-09-25 22:07:48
binancecoin,BNB,bnb,U$ 955.94,"U$ 132,960,597,702.00","U$ 3,495,608,330.00",0.43%,-5.80%,-3.03%,2025-09-25 22:07:48
solana,Solana,sol,U$ 196.07,"U$ 106,366,773,408.00","U$ 12,269,541,472.00",1.38%,-6.92%,-20.97%,2025-09-25 22:07:48
usd-coin,USDC,usdc,U$ 1.00,"U$ 73,944,930,585.00","U$ 19,171,778,857.00",0.00%,0.00%,-0.00%,2025-09-25 22:07:48
dogecoin,Dogecoin,doge,U$ 0.23,"U$ 34,134,239,975.00","U$ 4,224,569,891.00",0.86%,-5.52%,-18.81%,2025-09-25 22:07:48
staked-ether,Lido Staked Ether,steth,"U$ 3,927.71","U$ 33,547,022,843.00","U$ 90,554,754.00",1.05%,-4.79%,-14.67%,2025-09-25 22:07:48
tron,TRON,trx,U$ 0.33,"U$ 31,686,575,099.00","U$ 1,012,006,736.00",0.76%,-0.79%,-4.75%,2025-09-25 22:07:48
